Site_ID,campsite,dist,canopy,reps,basal_class,basal_percent,litter,temp,pH,GWC,BG_25,CB_25,NAG_25,PHOS_25,XYL_25,AG_25,LAP_25,BG_35,CB_35,NAG_35,PHOS_35,XYL_35,AG_35,LAP_35,TOC,EC,micC,soil_C,DOC,EN,micN,soil_N,TDN,SAC,SAN,C_N
413-06 Ca1A,413,Ca,1,A,1,1,0.00001,28,6.63,0.027,12.02200484,NA,NA,44.43926298,NA,NA,22.04455363,47.2485084,NA,3.432805422,163.1768422,NA,NA,63.3813225,0.075,807.5,119629.6296,1.751,0.026265,NA,NA,0.3721,0.0055815,0.000247725,0.000371391,4.705724268
413-06 Ca1B,413,Ca,1,B,1,2,11.6,28.4,6.94,0.021,4.191050644,0.768773269,1.007898677,9.822781047,1.681345855,1.386372898,8.360567709,6.948003815,1.56581478,7.551307698,18.9934931,1.823916117,1.725591798,18.91969204,0.085,5814.5,861407.4074,3.359,0.050385,463.6,57234.5679,0.7742,0.011613,1.17E-05,2.08E-05,4.338672178
413-06 Ca1C,413,Ca,1,C,1,3,7.3,32.1,7.33,0.028,21.82029047,0.392946503,5.229896535,48.71649006,1.576333328,0.036781536,28.74241992,54.93485325,2.673577604,15.05003287,131.0100297,4.705532945,3.109499296,72.91711532,0.079,NA,NA,11.677,0.175155,278.2,34345.67901,0.4866,0.007299,NA,NA,23.99712289
413-06 Ca1D,413,Ca,1,D,1,2,0.00001,34,7.27,0.038,5.406808818,0.640708132,2.73816698,10.55681938,0.378525776,0.640708132,10.05798657,10.43546198,1.690764074,8.157928855,24.53615112,1.578400207,1.303732977,21.10209239,0.118,NA,NA,4.0324,0.060486,NA,NA,0.5794,0.008691,NA,NA,6.959613393
413-06 Ca2A,413,Ca,2,A,1,1,0.00001,39.5,6.54,0.032,5.257292498,1.328930481,2.485478708,39.29828274,1.50305786,1.270888021,11.75561679,14.76325378,0.840372166,6.608211301,88.76655744,1.715185813,0.988645665,26.77513164,0.073,2669.1,395422.2222,2.0154,0.030231,125.6,15506.17284,0.2894,0.004341,3.50E-05,6.02E-05,6.96406358
413-06 Ca2B,413,Ca,2,B,1,1,0.00001,40.6,7.15,0.047,2.349417743,0.405870027,3.043139358,7.507087145,0.821219401,1.132891431,5.753435,7.196104835,3.339431192,5.985907243,15.56109698,2.780878458,3.472419938,13.15483489,0.055,3642.1,539570.3704,1.5104,0.022656,447.2,55209.87654,0.2853,0.0042795,1.99E-05,2.59E-05,5.294076411
413-06 Ca2C,413,Ca,2,C,1,1,0.00001,40.6,7.47,0.032,1.810894132,NA,NA,16.26215917,NA,NA,15.8285918,10.69552099,NA,0.125893621,36.80803999,NA,NA,27.07046472,0.052,931.1,137940.7407,1.0254,0.015381,120.8,14913.58025,0.1482,0.002223,4.53E-05,0.000155954,6.91902834
413-06 Ca2D,413,Ca,2,D,1,0,0.00001,41,5.81,0.028,1.382405251,0.659389952,1.314097443,6.189129897,0.649749748,0.72687138,3.288140445,0.162128731,0.77635776,0.281579631,6.463163707,0.095116679,0.33933518,5.601365059,0.061,704.1,104311.1111,1.2364,0.018546,20.4,2518.518519,0.2648,0.003972,2.30E-05,5.03E-05,4.66918429
413-06 Co1A,413,Co,1,A,1,5,6.4,28.2,6.66,0.073,4.404275436,1.157217918,1.699077365,25.55939065,1.881609451,1.101495492,8.618813728,0.197578959,2.090879269,4.372959886,66.35690296,4.681349159,1.165711451,9.232451412,0.091,2913.7,431659.2593,3.058,0.04587,253.6,31308.64198,0.4746,0.007119,1.93E-05,2.77E-05,6.443320691
413-06 Co1B,413,Co,1,B,2,15,2.6,28.5,6.67,0.057,11.91620831,0.316052159,2.990339655,34.82130706,1.253789333,0.237907394,11.09286527,18.45117927,3.216848671,7.723344227,83.51484883,4.369431636,1.918894882,28.25430652,0.078,5410.7,801585.1852,1.773,0.026595,162.9,20111.11111,0.416,0.00624,2.60E-05,3.12E-05,4.262019231
